never talk to me again,3,,
I am proud of your achievements,2,,
It is the worst day in my life,3,,
Miss you so much,0,, [0]
food is life,4,,
I love you mum,0,,
Stop saying bullshit,3,,
congratulations on your acceptance,2,,
The assignment is too long ,3,,
I want to go play,1,, [3]
she did not answer my text ,3,,
Your stupidity has no limit,3,,
how many points did he score,1,,
my algorithm performs poorly,3,,
I got approved,2,,
Stop shouting at me,3,,
Sounds like a fun plan ha ha,2,,
no one likes him,3,,
the game just finished,1,, [2]
I will celebrate soon,2,,
So sad you are not coming,3,,
She is my dearest love,0,, [1]
Good job,2,, [4]
It was funny lol,2,,
candy is life ,2,,
The chicago cubs won again,1,,
I am hungry,4,,
I am so excited to see you after so long,2,,
you did well on you exam,2,,
lets brunch some day,4,,
he is so cute,0,,
How dare you ask that,3,,
do you want to join me for dinner ,4,,
I said yes,2,,
she is attractive,0,,
you suck,3,,
she smiles a lot,2,,
he is laughing,2,,
she takes forever to get ready ,3,,
French macaroon is so tasty,4,,
we made it,2,,
I am excited,2,,
I adore my dogs,0,,
Congratulations,2,,
this girl was mean,3,,
you two are cute,0,,
my code is working but the grader gave me zero,3,,
this joke is killing me haha,2,,
do you like pizza ,4,,
you got a down grade,3,,
I missed you,0,,
I think I will end up alone,3,,
I got humiliated by my sister,3,,
you are awful,3,,
I cooked meat,4,,
This is so funny,2,,
lets exercise,1,,
he is the best player,1,,
I am going to the stadium,1,, [0]
You are incredibly intelligent and talented,2,,
Stop shouting at me,3,,
Who is your favorite player,1,,
I like you a lot,0,,
i miss him,0,,
my dog just had a few puppies,0,,
I hate him,3,,
I want chinese food,4,,
cookies are good,4,,
her smile is so charming,2,,
Bravo for the announcement it got a lot of traction,2,, [3]
she plays baseball,1,,
he did an amazing job,2,,
The baby is adorable,0,,
I was waiting for her for two hours ,3,,
funny,2,,
I like it when people smile,2,,
I love dogs,0,,v2
they are so kind and friendly,0,, [0]
So bad that you cannot come with us,3,,
he likes baseball,1,,
I am so impressed by your dedication to this project,2,,
I am at the baseball game,1,, [0]
Bravo,2,,
What a fun moment,2,,
I want to have sushi for dinner,4,,
I am very disappointed,3,,
he can not do anything,3,,
lol,2,,
Lets have food together,4,,
she is so cute,0,,
miss you my dear,0,, [6]
I am looking for a date,0,,
I am frustrated,3,,
I lost my wallet,3,,
you failed the midterm,3,,
ha ha ha it was so funny,2,,
Do you want to give me a hug,0,,
who is playing in the final,1,,
she is happy,2,,
You are not qualified for this position,3,,
I love my dad,0,,
this guy was such a joke,2,,
Good joke,2,,
This specialization is great,2,,
you could not solve it,3,,
I am so happy for you,2,,
Congrats on the new job,2,,
I am proud of you forever,2,,
I want to eat,4,,
That catcher sucks ,1,,
The first base man got the ball,1,,
this is bad,3,,
you did not do your homework,3,,
I will have a cheese cake,4,,
do you have a ball,1,,
the lectures are great though ,2,,
Are you down for baseball this afternoon,1,,
what are the rules of the game,1,,
I am always working,3,,
where is the stadium,1,,
She is the cutest person I have ever seen,0,, [4]
vegetables are healthy,4,,
he is handsome,0,,
too bad that you were not here,3,,
you are a loser,3,,
I love indian food,4,,
Who is down for a restaurant,4,,
he had to make a home run,1,,
I am ordering food,4,,
What is wrong with you,3,,
I love you,0,,
great job,2,,

You are amazing,0,,
This game was intense,1,,
Feeling so down today,3,,
Let's grab some dinner,4,,
You light up my world,0,,
That was a great catch,1,,
Why did this have to happen,3,,
Dinner tonight was delicious,4,,
I can't stop smiling,2,,
You make me so happy,0,,
This is so disappointing,3,,
We should play baseball sometime,1,,
I'm in love with you,0,,
I'm so hungry right now,4,,
I can't believe we lost,3,,
Great job on your project,2,,
This is such a sad day,3,,
I love good food,4,,
You always know how to make me smile,0,,
I'm heartbroken,3,,
I miss playing ball with you,1,,
Let's celebrate with some food,4,,
You've got this I'm so proud,2,,
You broke my heart,3,,
I can't wait to see you,0,,
The meal was fantastic,4,,
Your performance was outstanding,2,,
What a terrible mistake,3,,
You're the best,0,,
My team won the game,1,,
I'm so in love with life,0,,
This day just keeps getting worse,3,,
Let's go watch the baseball game,1,,
You bring joy to my heart,0,,
Feeling really down today,3,,
The food was out of this world,4,,
I'm smiling from ear to ear,2,,
This is just heartbreaking,3,,
Baseball is my favorite sport,1,,
You're my sunshine,0,,
I can't believe how bad this is,3,,
Let's go out for dinner tonight,4,,
I'm so proud of you,2,,
You always make me smile,0,,
This is the worst news ever,3,,
Baseball practice was tough today,1,,
We should cook something together,4,,
I'm over the moon happy,0,,
This situation is so frustrating,3,,
I love spending time with you,0,,
The food tasted amazing,4,,
Today has been really disappointing,3,,
You did an incredible job,2,,
I can't believe we won,1,,
My heart is aching,3,,
Let's celebrate with some amazing food,4,,
I'm bursting with happiness,2,,
I feel so let down,3,,
I love everything about you,0,,
That catch was unbelievable,1,,
I'm head over heels for you,0,,
Today just keeps getting worse,3,,
Let's play a game of catch,1,,
You complete me,0,,
This is such a disappointing outcome,3,,
I could eat this every day,4,,
I'm grinning from ear to ear,2,,
This news is so depressing,3,,
Baseball season is finally here,1,,
You have my heart,0,,
I can't believe how sad I feel,3,,
Let's go out to eat,4,,
Your hard work paid off,2,,
You make everything better,0,,
This is the saddest day ever,3,,
That home run was amazing,1,,
The food was so satisfying,4,,
I'm so happy for you,2,,
This is such a downer,3,,
You are the love of my life,0,,
The meal was absolutely delicious,4,,
This whole situation is just sad,3,,
You're doing great keep it up,2,,
The game was thrilling,1,,
My heart is broken,3,,
I can't get enough of this food,4,,
You're the reason I'm smiling,0,,
I'm really disappointed right now,3,,
